FID,flag,ONS_ID,Name,POPEST,Name_FR,Shape__Area,Shape__Length
1,0,938,Old Barrhaven West,16880,Old Barrhaven Ouest,10304764.8398438,15745.3942759568
2,1,3,Beacon Hill South - Cardinal Heights,7195,Beacon Hill Sud - Cardinal Heights,4533906.765625,10362.452307898
3,0,902,Beaverbrook,6715, ,5744250.984375,10135.9524523197
4,1,6,Bells Corners East,4729,Bells Corners Est,6786857.875,11170.9237949392
5,1,7,Bells Corners West,4158,Bells Corners Ouest,2772272.18359375,7467.06120886213
6,0,903,Billings Bridge - Alta Vista,12653, ,12582314.2578125,18591.5983716816
7,1,52,Hunt Club Upper -Blossom Park - Timbermill,8614,Hunt Club Supérieur - Parc Blossom - Timbermill,8832850.7265625,12021.7314142691
8,0,905,Borden Farm - Fisher Glen,6960, ,5229121.48828125,13018.3490211128
9,1,11,Braemar Park - Bel Air Heights - Copeland Park,6727,Parc Braemar - Hauteurs Bel Air - Parc Copeland,4777807.72265625,10087.5967647531
10,1,12,Briar Green - Leslie Park,5315,Briar Green - Parc Leslie,3850340.2890625,11595.3961928533
11,1,16,Carleton Heights - Rideauview,6852,Hauteurs Carleton - Rideauview,4321687.19921875,12893.0507585757
12,1,18,Carlington,10099, ,5499930.95703125,10693.47955425
13,0,931,Laurentian,9654, ,5539795.62890625,11654.1198849762
14,0,910,Carlingwood West - Glabar Park - McKellar Heights,8773, ,6024056.3125,17396.4308601259
15,0,912,Carson Grove - Carson Meadows,10694, ,9055176.61328125,12563.8720411714
16,1,23,Centrepointe,7270, ,4285224.08984375,8704.27926453683
17,1,24,Centretown,24994,Centre-Ville,6798261.0546875,12410.4922355789
18,0,913,Chapel Hill North,10798, ,7702015.8515625,11499.0066808796
19,0,950,Skyline - Fisher Heights,4373, ,3911079.86328125,9849.83332328803
20,1,28,Civic Hospital-Central Park,10980,Hôpital Civique - Parc Central,15220267.7617188,25886.1359612292
21,1,31,Cityview - Crestview - Meadowlands,8545, ,8001018.5546875,12083.7837344614
22,1,38,Emerald Woods - Sawmill Creek,5309, ,3669019.453125,8354.43961507161
23,0,923,Glebe - Dows Lake,12193,Glebe – Lac Dows,5528183.9453125,12848.7976014979
24,1,45,Greenboro East,10722,Greenboro Est,4402989.484375,10890.8117634357
25,1,46,Hawthorne Meadows - Sheffield Glen,6674, ,2347615.27734375,6580.13267167196
26,1,47,Hintonburg - Mechanicsville,9368, ,3718372.96875,13879.3692579579
27,1,48,Hunt Club - Ottawa Airport,2459,Hunt Club - Aéroport d'Ottawa,30956750.921875,25642.1821670348
28,1,49,Hunt Club East - Western Community,10784,Hunt Club Est - Communauté de l'Ouest,6935195.97265625,11869.26381356
29,1,54,Iris - Queensway Terrance South,5824,Iris - Queensway Terrance Sud,4364083.5078125,9278.27168235772
30,1,55,Island Park - Wellington Village,5339,Island Park - Village Wellington,5072138.2109375,13683.280101001
31,0,929,Katimavik - Hazeldean,11800, ,11155595.6992188,14320.0249491836
32,0,932,Ledbury - Heron Gate - Ridgemont,13903, ,5436839.34375,9692.06588654192
33,0,933,Lindenlea - New Edinburgh,4779, ,3454472.9140625,10961.3781518553
34,0,934,Lowertown,5917,Basse-ville,1609973.05078125,7296.0944948747
35,0,939,Orléans Village - Chateauneuf,10651, ,6642703.69921875,10678.6144426325
36,0,940,Overbrook - McArthur,19599, ,12381872.6171875,19066.7633803361
37,1,87,Playfair Park - Lynda Park - Guildwood Estates,5945,Parc Playfair - Parc Lynda - Domaines Guildwood,4189787.3515625,9402.32909953704
38,1,88,Qualicum - Redwood Park,4176,Qualicum - Parc Redwood,3723946.78125,8490.1094598764
39,0,943,Queenswood Heights,12828, ,8955310.1171875,13662.5459800642
40,1,90,Riverside Park,4371,Parc Riverside,6523271.59765625,12636.3167072597
41,0,949,Sandy Hill,11365,Côte-de-Sable,4400658.921875,9903.98273165555
42,1,100,Trend-Arlington,4738, ,3501368.54296875,7956.27277669229
43,1,97,South Keys - Greenboro West,4221,South Keys - Greenboro Ouest,6427358.03515625,16829.0559025465
44,1,99,Tanglewood,4928, ,4434985.4765625,10296.3846922397
45,0,954,Vanier South,6759,Vanier Sud,2703357.7734375,7929.10238986891
46,0,957,West Centretown,9856,Centre-Ville Ouest,3622143.390625,9294.7517441004
47,0,958,Westboro,10558, ,6424022.68359375,15810.4037808249
48,1,106,Whitehaven - Queensway Terrace North,11614,Whitehaven - Terrasse Queensway Nord,6465806.453125,11725.3269304584
49,1,108,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,8484,Woodvale - Craig Henry - Manordale - Domaines des Bois d'Arlington,6525098.58203125,10709.7355430202
50,0,948,Rockcliffe Park,2062,Parc Rockcliffe,4566537.67578125,9700.39611129462
51,0,956,Wateridge Village,613,Village des Riverains,9379741.671875,16794.8402728704
52,0,953,Vanier North,9634,Vanier Nord,3459438.1171875,11294.4040831903
53,0,915,Convent Glen - Orléans Woods,14543, ,12439579.3945313,17936.2614092132
54,1,50,Hunt Club Park,8566,Parc Hunt Club,3688887.1015625,8530.04693933412
55,0,917,East Industrial,2084,Industriel-Est,26440112.125,43088.5291962498
56,0,919,Elmvale - Canterbury,11540, ,8119650.80859375,13558.0435515407
57,1,65,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,2930,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,13137621.0390625,20441.3817074731
58,1,93,Rothwell Heights - Beacon Hill North,10359,Rothwell Heights - Beacon Hill Nord,12087458.0351563,14348.8368808277
59,1,76,Chatelaine Village,4174,Village Chatelaine,7734233.91796875,50983.3676137307
60,0,924,Glen Cairn - Kanata South Business Park,9152,Glen Cairn - Parc d'Affaires Kanata-Sud,9155271.27734375,14410.940311102
61,0,928,Kanata Lakes - Arcardia,12576, ,24234492.4960938,27239.1008217616
62,0,927,Hunt Club Woods - Quintarra - Revelstoke,5953,Hunt Club Woods - Quintarra - Revelstoke,10411171.4335938,27043.4039198997
63,1,13,Bridlewood - Emerald Meadows,21101, ,13152825.1132813,15017.3658128526
64,0,942,Portobello South,16313, ,16089535.8125,18298.6135120377
65,1,75,Chapel Hill South,7298,Chapel Hill Sud,20242316.2148438,18837.454207902
66,0,904,Blackburn Hamlet,8172, ,6000006.61328125,12889.5887063036
67,0,945,Rideau Crest - Davidson Heights,14566, ,9682369.6796875,16266.8478648763
68,0,946,Riverside South - Leitrim,10942,Riverside Sud - Leitrim,49411864.609375,36691.7916087452
69,1,32,Crystal Bay - Lakeview Park,3815,Baie Crystal - Parc Lakeview,11169585.0859375,26534.3431461853
70,0,906,Britannia Village,6543, ,4280755.09765625,12924.479549293
71,0,908,Byward Market,5382,Marché By,2526073.3828125,8241.26831136525
72,1,83,Old Ottawa South,6635,Vieil Ottawa-Sud,2928124.5703125,8348.7753558099
73,1,82,Old Ottawa East,6645,Vieil Ottawa-Est,3485595.96484375,10039.6536595539
74,3,17,Carleton University,19,Université Carleton,1848575.62890625,9414.83143290973
75,3,5,Beechwood Cemetery,139,Cimetière Beechwood,1351777.0703125,5282.71240480361
76,3,60,Lebreton Development,369,Développement Lebreton,1765899.62109375,13182.7948139594
77,3,71,Notre-Dame Cemetery,17,Cimetière Notre-Dame,416360.4609375,3527.26592238352
78,3,77,Orléans Industrial,74,Orléans Industriel,1068111.890625,4145.70898398472
79,1,51,Hunt Club South Industrial,733,Hunt Club Sud Industriel,9263513.65625,13184.2704863334
80,0,951,Stittsville,26674, ,60582781.5546875,42737.2731842966
81,0,952,Stonebridge - Half Moon Bay - Heart's Desire,9464, ,29316674.796875,31829.9581812397
82,0,944,Richmond,7669, ,340263076.5625,87558.9689019316
83,0,922,Fitzroy,3299, ,274749777.953125,187048.52300746
