time,fav_count,id,lang,possibly_sensitive,source,text,user.id,user.name,user.handle,user.location,dilbert_label,dilbert_score,label,score
Tue Nov 29 15:31:21 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I take 0 action without strategy,2904332428,Massoud,mxssoud,"Ottawa, Ontario",NEGATIVE,0.995961249,1,0.924041212
Tue Nov 29 15:31:20 +0000 2022,0,1.60E+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@GuidoDisalle gm Guido!,1.37E+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada",NEGATIVE,0.947550535,5,0.498548687
Tue Nov 29 15:31:18 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SleuthieGoosie Absolutely agree with you. Not normal.,299329872,Middy T,middyt,"Ottawa, Ontario, Canada",POSITIVE,0.984933555,1,0.283422709
Tue Nov 29 15:31:16 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ThisIsKyleR @elonmusk Yes, life must be soooooo hard for you. Being able to murder whoever you want isn’t enough,… https://t.co/Mzp3Li38s0",27987194,GeeGee23,GeeGee23,Ottawa,NEGATIVE,0.997435987,1,0.315152764
Tue Nov 29 15:31:13 +0000 2022,0,1.60E+18,en,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@funstonpaleo So looking forward to seeing the results that come out of this!! https://t.co/o9Esvh5PXw,7.25E+17,Michelle Campbell Mekarski PhD,MichelleCbell,"Ottawa, Ontario",POSITIVE,0.996623039,5,0.428461522
Tue Nov 29 15:31:07 +0000 2022,0,1.60E+18,tl,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HugoFaz gm Hugo!,1.37E+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada",POSITIVE,0.967722654,5,0.478128523
Tue Nov 29 15:31:06 +0000 2022,0,1.60E+18,fr,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Donner en GRAND à votre communauté aujourd'hui💥
Nous lançons 🛶Bateaux pour Tous🛶 - une campagne pour s'assurer que… https://t.co/gkZVQKP99X",143151472,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON",NEGATIVE,0.966247022,5,0.445331991
Tue Nov 29 15:31:05 +0000 2022,0,1.60E+18,en,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Give back to your community in a BIG way today!💥

We’re launching 🛶Boats for All🛶 – a campaign to ensure our races… https://t.co/Sdr7UnX1fC",143151472,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON",POSITIVE,0.995147645,5,0.677167118
Tue Nov 29 15:31:04 +0000 2022,0,1.60E+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",y’all wouldn’t get it https://t.co/9rzxQRwdO6,1.22E+18,stunna 🇨🇷,LeGreenCard,"Ottawa, Ontario",NEGATIVE,0.999189794,1,0.607453167
Tue Nov 29 15:31:03 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@WashedSummon OH MY GOODNESS WHAT A BUILD IM ABOUT TO BE FRICKING T’D,1.18E+18,ᴴʸᵖᵉʳ Xmanbill,Xmanbill,"Ottawa, Ontario",NEGATIVE,0.988694489,1,0.256044865
Tue Nov 29 15:31:02 +0000 2022,0,1.60E+18,fr,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@_BeFootball Il va rien faire du tout,1.13E+18,zakataka_tawotawo 🇨🇩🇨🇦,BWilanga,"Ottawa, Ontario",NEGATIVE,0.691268623,5,0.35474354
Tue Nov 29 15:31:00 +0000 2022,0,1.60E+18,en,False,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>","“The problem is that #BC isn’t planning to generate enough electricity to meet its #2030ClimateTargets,” before eve… https://t.co/Ri7S1j7xfW",2587748954,The Energy Mix,TheEnergyMix,Ottawa,NEGATIVE,0.999067366,1,0.324010193
Tue Nov 29 15:30:58 +0000 2022,0,1.60E+18,en,False,"<a href=""https://trueanthem.com/"" rel=""nofollow"">True Anthem</a>",The Ottawa Police Services Board abruptly ended its meeting Monday as public delegates held a protest demanding act… https://t.co/WtF4D8qxiD,21212604,CTV Ottawa,ctvottawa,"Ottawa, Ontario",NEGATIVE,0.999140501,1,0.613772631
Tue Nov 29 15:30:54 +0000 2022,0,1.60E+18,fr,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@alexandrepratt Ton per diem ne te fournira pas 2000 calories par jour 😉,121887615,SYL20 🧭🇺🇦🚗🔋⚡️,syl20boi20,"Gatineau, Québec",NEGATIVE,0.771400809,1,0.480750352
Tue Nov 29 15:30:53 +0000 2022,1,1.60E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@GraemeNichols I've been of the opinion that the team must know at least something but trading an asset under these… https://t.co/fB2PuvLi2J,1.30E+18,Uncle Shickadance ✈️ 🇨🇦 613,That80sG,"Ottawa, Ontario",NEGATIVE,0.989531517,4,0.272111297
Tue Nov 29 15:30:50 +0000 2022,0,1.60E+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@_benui thanks, all done in a custom game engine",322715600,Owen Deery,owendeery,"Ottawa, ON",POSITIVE,0.995765924,5,0.569570124
Tue Nov 29 15:30:46 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@118Thumper118 @ElseSlayer What's that got to do with the price of butter? 😂

But seriously, yes, yes and yes, except for Scrappy Doo!",24170858,Dave Smalldon 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇨🇦 (AlienWooshie),davesmalldon,"Ottawa, Canada",NEGATIVE,0.972916067,3,0.264587373
Tue Nov 29 15:30:42 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@NatashaZimmers As a Canadian student and teacher I know what it is. My daughter denies having heard it called that… https://t.co/oUxMmYpv3t,71663806,Sarah Jane,northofBarrie,"Ottawa, Ontario",NEGATIVE,0.991986036,4,0.2883856
Tue Nov 29 15:30:41 +0000 2022,0,1.60E+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pain is starting to subside. https://t.co/B85iuW36lQ,3368385915,Lindsay 🎮 Harvestella,WitchOats,"Ottawa, Ontario",NEGATIVE,0.993959904,2,0.359313846
Tue Nov 29 15:30:35 +0000 2022,0,1.60E+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@JenStewartOtt  will you help me with a RT? 

https://t.co/rpv5ikYyWa https://t.co/iy7e0tnm7d",1.22E+18,Ava-OTO,Onlytakesone20,"Ottawa, Ontario",NEGATIVE,0.994289756,1,0.242646933
Tue Nov 29 15:30:35 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@TheJFreakinC Traumatic head injuries are mandatory to be elected to the Republican Party.,1643438737,Megs,the_meghaning,Ottawa ON,NEGATIVE,0.994275272,1,0.459253609
Tue Nov 29 15:30:34 +0000 2022,0,1.60E+18,en,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Seeds Canada Members are about to hear all about what we have been busy working on from our senior management team… https://t.co/dAy15557wS,425574454,Seeds Canada,Seeds_Canada,"Ottawa, Ontario",POSITIVE,0.997663617,5,0.364007741
Tue Nov 29 15:30:34 +0000 2022,0,1.60E+18,en,False,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",Being part of a community that shares your views on important ... More for Aries https://t.co/bhzrBI9zZh,202369531,Nancy Nguyen,_NancyNguyen,Ottawa,POSITIVE,0.994682848,4,0.366058648
Tue Nov 29 15:30:33 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@DPatel_PharmD And yet his common sense trumps your opponents so-called compassion, why don't you argue the issues… https://t.co/xhg1Bgw4Jd",1.47E+18,opsguy111,opsguy111,"Ottawa, Ontario",POSITIVE,0.984164536,5,0.40306747
Tue Nov 29 15:30:33 +0000 2022,1,1.60E+18,fr,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",CORRECTION! Watson est là. Je ne l'avais pas vu.,24190618,Sylvain St-Laurent,Syl_St_Laurent,"Ottawa, Ontario",NEGATIVE,0.991769552,3,0.328801841
Tue Nov 29 15:30:32 +0000 2022,0,1.60E+18,fr,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pratique des Sénateurs ce matin, Anton Forsberg est présent.",89265112,Marc Brassard,mbrassard,"Ottawa, ON",POSITIVE,0.895284116,4,0.474070638
Tue Nov 29 15:30:32 +0000 2022,0,1.60E+18,en,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",New collaboration between CAGBC &amp; @UofT to research solutions for embodied carbon reductions from building material… https://t.co/LkMROdkNiv,179957954,CAGBC,CAGBC,Ottawa,POSITIVE,0.964548826,5,0.450860709
Tue Nov 29 15:30:31 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jbru11 @MikeDrucker @GeraldLeroy6 He left after the fall of apartheid. So yes, to avoid military service, but not… https://t.co/9UwFgNirNF",129870013,average rando,hfjohnsen,"Ottawa, Ontario",NEGATIVE,0.993061244,1,0.518113315
Tue Nov 29 15:30:28 +0000 2022,0,1.60E+18,en,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Insurance can get complicated. Our latest blog post explains the basics. If you have questions, we can help.… https://t.co/0kyHcdT1Wj",480524580,CrossPoint Financial,CrossPointFinan,"Ottawa, Ontario Canada",NEGATIVE,0.965727448,4,0.368585855
Tue Nov 29 15:30:28 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Vote for the #LionsCelly for #BudLightCelly of the Week!,1.57E+18,Thomas White,DetriotLions32,"Ottawa, Ontario",POSITIVE,0.98403579,5,0.520243227
Tue Nov 29 15:30:27 +0000 2022,0,1.60E+18,en,False,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",Balancing recent family and career commitments could be a chal... More for Virgo https://t.co/GCmNxAND1W,18690262,Brady,bradyjprimes,"Ottawa, Ontario",NEGATIVE,0.706043839,3,0.367253572
Tue Nov 29 15:30:26 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@aureliusraines2 May tomorrow be so boring it almost brings you to tears,8.35E+17,Stephen Coghlan 🇨🇦,WordsBySC,"Ottawa, Canada",NEGATIVE,0.99915576,1,0.583529472
Tue Nov 29 15:30:26 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@PaulChampLaw You know I agree with this. They could probably hold an entirely separate inquiry on this point thoug… https://t.co/OdhJUT8hAr,3347822225,Alyssa Tomkins,alyssa_tomkins,"Ottawa, Ontario",NEGATIVE,0.957190096,3,0.287751675
Tue Nov 29 15:30:21 +0000 2022,0,1.60E+18,en,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Worth reading. https://t.co/AkKkunbXfr via @nationalpost,7.17E+17,Andrew Hall,AndrewHallCan,"Ottawa, Canada",POSITIVE,0.963415265,4,0.46236518
Tue Nov 29 15:30:21 +0000 2022,0,1.60E+18,en,False,"<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>","“Hi, my name is 𝘿𝙖𝙫𝙞𝙙 𝙁𝙧𝙚𝙮. I don’t usually endorse other people’s products, but in this case I’m making an excepti… https://t.co/r2Ggqidh2v",5750402,James Maduk,wpgrow,Ottawa,NEGATIVE,0.983206749,3,0.298966587
Tue Nov 29 15:30:19 +0000 2022,1,1.60E+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The SSI journey begins.
#owasp #ottawa @BsidesOttawa #bsidesottawa #identity #SelfSovereignIdentity https://t.co/Je2MYOWQvb",385718218,OWASP Ottawa,OWASP_Ottawa,Ottawa,NEGATIVE,0.972692847,1,0.225022078
Tue Nov 29 15:30:19 +0000 2022,0,1.60E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@lordsweetpotato @StephenPunwasi Lot braver than me looking that far out. Climate is playing a bigger role every ye… https://t.co/FLmZt2ComQ,1.49E+18,Ottawa centric,CentricOttawa,"Ottawa, Ontario",POSITIVE,0.966254294,5,0.42465511
