,time,fav_count,id,lang,possibly_sensitive,source,text,user.id,user.name,user.handle,user.location,classifier_dilbert.label,classifier_dilbert.score,classifier_bert.label,classifier_bert.score
0,Tue Nov 29 15:31:21 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I take 0 action without strategy,2904332428.0,Massoud,mxssoud,"Ottawa, Ontario",NEGATIVE,0.9959612488746641,1 star,0.924041211605072
0,Tue Nov 29 15:31:20 +0000 2022,0,1.6e+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@GuidoDisalle gm Guido!,1.37e+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada",NEGATIVE,0.947550535202026,5 stars,0.498548686504364
0,Tue Nov 29 15:31:18 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SleuthieGoosie Absolutely agree with you. Not normal.,299329872.0,Middy T,middyt,"Ottawa, Ontario, Canada",POSITIVE,0.9849335551261901,1 star,0.28342270851135204
0,Tue Nov 29 15:31:16 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ThisIsKyleR @elonmusk Yes, life must be soooooo hard for you. Being able to murder whoever you want isn’t enough,… https://t.co/Mzp3Li38s0",27987194.0,GeeGee23,GeeGee23,Ottawa,NEGATIVE,0.9974359869956971,1 star,0.31515276432037304
0,Tue Nov 29 15:31:13 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@funstonpaleo So looking forward to seeing the results that come out of this!! https://t.co/o9Esvh5PXw,7.25e+17,Michelle Campbell Mekarski PhD,MichelleCbell,"Ottawa, Ontario",POSITIVE,0.996623039245605,5 stars,0.42846152186393704
0,Tue Nov 29 15:31:07 +0000 2022,0,1.6e+18,tl,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HugoFaz gm Hugo!,1.37e+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada",POSITIVE,0.967722654342651,5 stars,0.47812852263450606
0,Tue Nov 29 15:31:06 +0000 2022,0,1.6e+18,fr,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Donner en GRAND à votre communauté aujourd'hui💥
Nous lançons 🛶Bateaux pour Tous🛶 - une campagne pour s'assurer que… https://t.co/gkZVQKP99X",143151472.0,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON",NEGATIVE,0.966247022151947,5 stars,0.44533199071884105
0,Tue Nov 29 15:31:05 +0000 2022,0,1.6e+18,en,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Give back to your community in a BIG way today!💥

We’re launching 🛶Boats for All🛶 – a campaign to ensure our races… https://t.co/Sdr7UnX1fC",143151472.0,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON",POSITIVE,0.9951476454734801,5 stars,0.677167117595672
0,Tue Nov 29 15:31:04 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",y’all wouldn’t get it https://t.co/9rzxQRwdO6,1.22e+18,stunna 🇨🇷,LeGreenCard,"Ottawa, Ontario",NEGATIVE,0.9991897940635681,1 star,0.6074531674385071
0,Tue Nov 29 15:31:03 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@WashedSummon OH MY GOODNESS WHAT A BUILD IM ABOUT TO BE FRICKING T’D,1.18e+18,ᴴʸᵖᵉʳ Xmanbill,Xmanbill,"Ottawa, Ontario",NEGATIVE,0.9886944890022271,1 star,0.256044864654541
0,Tue Nov 29 15:31:02 +0000 2022,0,1.6e+18,fr,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@_BeFootball Il va rien faire du tout,1.1299999999999999e+18,zakataka_tawotawo 🇨🇩🇨🇦,BWilanga,"Ottawa, Ontario",NEGATIVE,0.6912686228752131,5 stars,0.35474354028701705
0,Tue Nov 29 15:31:00 +0000 2022,0,1.6e+18,en,False,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>","“The problem is that #BC isn’t planning to generate enough electricity to meet its #2030ClimateTargets,” before eve… https://t.co/Ri7S1j7xfW",2587748954.0,The Energy Mix,TheEnergyMix,Ottawa,NEGATIVE,0.9990673661231991,1 star,0.32401019334793
0,Tue Nov 29 15:30:58 +0000 2022,0,1.6e+18,en,False,"<a href=""https://trueanthem.com/"" rel=""nofollow"">True Anthem</a>",The Ottawa Police Services Board abruptly ended its meeting Monday as public delegates held a protest demanding act… https://t.co/WtF4D8qxiD,21212604.0,CTV Ottawa,ctvottawa,"Ottawa, Ontario",NEGATIVE,0.9991405010223381,1 star,0.6137726306915281
0,Tue Nov 29 15:30:54 +0000 2022,0,1.6e+18,fr,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@alexandrepratt Ton per diem ne te fournira pas 2000 calories par jour 😉,121887615.0,SYL20 🧭🇺🇦🚗🔋⚡️,syl20boi20,"Gatineau, Québec",NEGATIVE,0.771400809288024,1 star,0.48075035214424106
0,Tue Nov 29 15:30:53 +0000 2022,1,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@GraemeNichols I've been of the opinion that the team must know at least something but trading an asset under these… https://t.co/fB2PuvLi2J,1.3e+18,Uncle Shickadance ✈️ 🇨🇦 613,That80sG,"Ottawa, Ontario",NEGATIVE,0.989531517028808,4 stars,0.272111296653747
0,Tue Nov 29 15:30:50 +0000 2022,0,1.6e+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@_benui thanks, all done in a custom game engine",322715600.0,Owen Deery,owendeery,"Ottawa, ON",POSITIVE,0.9957659244537351,5 stars,0.5695701241493221
0,Tue Nov 29 15:30:46 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@118Thumper118 @ElseSlayer What's that got to do with the price of butter? 😂

But seriously, yes, yes and yes, except for Scrappy Doo!",24170858.0,Dave Smalldon 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇨🇦 (AlienWooshie),davesmalldon,"Ottawa, Canada",NEGATIVE,0.972916066646575,3 stars,0.264587372541427
0,Tue Nov 29 15:30:42 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@NatashaZimmers As a Canadian student and teacher I know what it is. My daughter denies having heard it called that… https://t.co/oUxMmYpv3t,71663806.0,Sarah Jane,northofBarrie,"Ottawa, Ontario",NEGATIVE,0.9919860363006591,4 stars,0.288385599851608
0,Tue Nov 29 15:30:41 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pain is starting to subside. https://t.co/B85iuW36lQ,3368385915.0,Lindsay 🎮 Harvestella,WitchOats,"Ottawa, Ontario",NEGATIVE,0.9939599037170411,2 stars,0.35931384563446
0,Tue Nov 29 15:30:35 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@JenStewartOtt  will you help me with a RT? 

https://t.co/rpv5ikYyWa https://t.co/iy7e0tnm7d",1.22e+18,Ava-OTO,Onlytakesone20,"Ottawa, Ontario",NEGATIVE,0.994289755821228,1 star,0.24264693260192802
0,Tue Nov 29 15:30:35 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@TheJFreakinC Traumatic head injuries are mandatory to be elected to the Republican Party.,1643438737.0,Megs,the_meghaning,Ottawa ON,NEGATIVE,0.994275271892547,1 star,0.45925360918045005
0,Tue Nov 29 15:30:34 +0000 2022,0,1.6e+18,en,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Seeds Canada Members are about to hear all about what we have been busy working on from our senior management team… https://t.co/dAy15557wS,425574454.0,Seeds Canada,Seeds_Canada,"Ottawa, Ontario",POSITIVE,0.9976636171340941,5 stars,0.364007741212844
0,Tue Nov 29 15:30:34 +0000 2022,0,1.6e+18,en,False,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",Being part of a community that shares your views on important ... More for Aries https://t.co/bhzrBI9zZh,202369531.0,Nancy Nguyen,_NancyNguyen,Ottawa,POSITIVE,0.9946828484535211,4 stars,0.36605864763259804
0,Tue Nov 29 15:30:33 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@DPatel_PharmD And yet his common sense trumps your opponents so-called compassion, why don't you argue the issues… https://t.co/xhg1Bgw4Jd",1.47e+18,opsguy111,opsguy111,"Ottawa, Ontario",POSITIVE,0.9841645359992981,5 stars,0.403067469596862
0,Tue Nov 29 15:30:33 +0000 2022,1,1.6e+18,fr,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",CORRECTION! Watson est là. Je ne l'avais pas vu.,24190618.0,Sylvain St-Laurent,Syl_St_Laurent,"Ottawa, Ontario",NEGATIVE,0.9917695522308351,3 stars,0.328801840543746
0,Tue Nov 29 15:30:32 +0000 2022,0,1.6e+18,fr,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pratique des Sénateurs ce matin, Anton Forsberg est présent.",89265112.0,Marc Brassard,mbrassard,"Ottawa, ON",POSITIVE,0.8952841162681581,4 stars,0.474070638418197
0,Tue Nov 29 15:30:32 +0000 2022,0,1.6e+18,en,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",New collaboration between CAGBC &amp; @UofT to research solutions for embodied carbon reductions from building material… https://t.co/LkMROdkNiv,179957954.0,CAGBC,CAGBC,Ottawa,POSITIVE,0.964548826217651,5 stars,0.45086070895195
0,Tue Nov 29 15:30:31 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jbru11 @MikeDrucker @GeraldLeroy6 He left after the fall of apartheid. So yes, to avoid military service, but not… https://t.co/9UwFgNirNF",129870013.0,average rando,hfjohnsen,"Ottawa, Ontario",NEGATIVE,0.9930612444877621,1 star,0.518113315105438
0,Tue Nov 29 15:30:28 +0000 2022,0,1.6e+18,en,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Insurance can get complicated. Our latest blog post explains the basics. If you have questions, we can help.… https://t.co/0kyHcdT1Wj",480524580.0,CrossPoint Financial,CrossPointFinan,"Ottawa, Ontario Canada",NEGATIVE,0.965727448463439,4 stars,0.36858585476875305
0,Tue Nov 29 15:30:28 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Vote for the #LionsCelly for #BudLightCelly of the Week!,1.57e+18,Thomas White,DetriotLions32,"Ottawa, Ontario",POSITIVE,0.984035789966583,5 stars,0.520243227481842
0,Tue Nov 29 15:30:27 +0000 2022,0,1.6e+18,en,False,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",Balancing recent family and career commitments could be a chal... More for Virgo https://t.co/GCmNxAND1W,18690262.0,Brady,bradyjprimes,"Ottawa, Ontario",NEGATIVE,0.7060438394546501,3 stars,0.367253571748733
0,Tue Nov 29 15:30:26 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@aureliusraines2 May tomorrow be so boring it almost brings you to tears,8.35e+17,Stephen Coghlan 🇨🇦,WordsBySC,"Ottawa, Canada",NEGATIVE,0.999155759811401,1 star,0.583529472351074
0,Tue Nov 29 15:30:26 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@PaulChampLaw You know I agree with this. They could probably hold an entirely separate inquiry on this point thoug… https://t.co/OdhJUT8hAr,3347822225.0,Alyssa Tomkins,alyssa_tomkins,"Ottawa, Ontario",NEGATIVE,0.9571900963783261,3 stars,0.287751674652099
0,Tue Nov 29 15:30:21 +0000 2022,0,1.6e+18,en,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Worth reading. https://t.co/AkKkunbXfr via @nationalpost,7.17e+17,Andrew Hall,AndrewHallCan,"Ottawa, Canada",POSITIVE,0.9634152650833131,4 stars,0.46236518025398204
0,Tue Nov 29 15:30:21 +0000 2022,0,1.6e+18,en,False,"<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>","“Hi, my name is 𝘿𝙖𝙫𝙞𝙙 𝙁𝙧𝙚𝙮. I don’t usually endorse other people’s products, but in this case I’m making an excepti… https://t.co/r2Ggqidh2v",5750402.0,James Maduk,wpgrow,Ottawa,NEGATIVE,0.9832067489624021,3 stars,0.298966586589813
0,Tue Nov 29 15:30:19 +0000 2022,1,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The SSI journey begins.
#owasp #ottawa @BsidesOttawa #bsidesottawa #identity #SelfSovereignIdentity https://t.co/Je2MYOWQvb",385718218.0,OWASP Ottawa,OWASP_Ottawa,Ottawa,NEGATIVE,0.9726928472518921,1 star,0.22502207756042403
0,Tue Nov 29 15:30:19 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@lordsweetpotato @StephenPunwasi Lot braver than me looking that far out. Climate is playing a bigger role every ye… https://t.co/FLmZt2ComQ,1.49e+18,Ottawa centric,CentricOttawa,"Ottawa, Ontario",POSITIVE,0.9662542939186091,5 stars,0.42465510964393605
0,Tue Nov 29 15:30:19 +0000 2022,0,1.6e+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@shortstack_dan @jamiezjohnson @QuantumNFT gm Dan! Best wishes to your sick computer &lt;3,1.37e+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada",NEGATIVE,0.9347921609878541,5 stars,0.40950566530227606
