data.time,data.fav_count,data.id,data.lang,data.possibly_sensitive,data.source,data.text,user.id,user.name,user.handle,user.location
Tue Nov 29 23:50:00 +0000 2022,0,1.59774E+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@patricklobo01 @DanAlbas Dan's constituency is in BC so that constituent is paying BC's carbon tax.,272792664,RF 🇺🇦,dipbrat70,"Ottawa, Ontario"
Tue Nov 29 23:49:54 +0000 2022,0,1.59774E+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@VeryCoolChoice @TheRealKeean Yes. Which had nothing to do with stopping legal protesters at all.,1.26976E+18,Cultured Swine,tales_tomorrow,"Ottawa, Canada"
Tue Nov 29 23:49:54 +0000 2022,0,1.59774E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ColinDMello That's hardly breaking news lol, of course he's going to appeal.",1.09146E+18,Rachael,Rachaell55,"Ottawa, Ontario"
Tue Nov 29 23:49:46 +0000 2022,0,1.59774E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@LtStevenRogers Because the only thing TRUDEAU DOES IS LIES HE NEEDS TO RESIGN SOONER THAN LATER HE IS THE WORST PM EVER,1.50064E+18,Roberta w @ 69,LiseMor03488258,"Ottawa, Ontario"
Tue Nov 29 23:49:45 +0000 2022,0,1.59774E+18,en,false,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Dragon Ball Z: Kakarot is $19.95 ($10 off) @ Amazon

· PS4: https://t.co/T0hhKuIIJ3
· X1: https://t.co/OvQqXc4sCA… https://t.co/9wy7TH83I2",36946876,Game Deals Canada,GameDealsCanada,"Ottawa, Ontario, Canada"
Tue Nov 29 23:49:43 +0000 2022,0,1.59774E+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@EricEngels Few weeks back Dorian was there with a couple of others also,8.35288E+17,g_g,GMuscle1975jp,Ottawa
Tue Nov 29 23:49:42 +0000 2022,0,1.59774E+18,und,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@MLInstitute @_EuropeanValues https://t.co/cOBe6tr4ct,15312224,Charles Burton,cburton001,"Ottawa, Ontario"
Tue Nov 29 23:49:40 +0000 2022,0,1.59774E+18,und,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@_Peace_Love_US ✋,19155796,David Pattee,dvdpattee,"Ottawa, Canada"
Tue Nov 29 23:49:40 +0000 2022,0,1.59774E+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@marshtindall @David_Moscrop @ClaireKraatz Oh most definitely not,19085137,alkors@mstdn.ca,alkors,Ottawa
Tue Nov 29 23:49:34 +0000 2022,0,1.59774E+18,und,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",N O https://t.co/lEvuFmqBg1,8.96019E+17,Christen NO DMs 🇨🇦 Secular Humanist,sandbanksgirl,"Ottawa, Ontario"
Tue Nov 29 23:49:33 +0000 2022,0,1.59774E+18,und,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ShropshireWild1 🤷🏼‍♀️,1.32159E+18,S.P. O’Sullivan,sposullivan5,"Ottawa, Ontario"
Tue Nov 29 23:49:33 +0000 2022,0,1.59774E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@JaecynWrites Um...what?....,20156042,Jennifer Bulman,JenniferBulman,"Ottawa, Canada"
Tue Nov 29 23:49:27 +0000 2022,0,1.59774E+18,en,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",They really want to be prepared to beat SJ on Saturday https://t.co/qPwEw31Ghv,51058524,KadriSens,KadriSens,Ottawa
Tue Nov 29 23:49:26 +0000 2022,0,1.59774E+18,en,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LOL yeah https://t.co/IylcIHjlsc,1.55846E+18,kristen martelock,Kmart00714,"Ottawa, Ontario"
Tue Nov 29 23:49:25 +0000 2022,0,1.59774E+18,en,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Was your Graphic Designer serious with this??? @Senators https://t.co/SvqXFjAqGh,4394497461,Pavel Bulldozer Lubanski,pavellubanski,Ottawa
Tue Nov 29 23:49:25 +0000 2022,1,1.59774E+18,en,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Evening vibes with Vimy Cream Ale. Refreshing beer and delicious eats at @CornerBarNGrill https://t.co/kBd6awqrsA,1136994469,Vimy Brewing Company,VimyBrewing,"Ottawa, Canada"
Tue Nov 29 23:49:24 +0000 2022,0,1.59774E+18,und,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",👍 https://t.co/Y8ZhAGNGhl,8.96019E+17,Christen NO DMs 🇨🇦 Secular Humanist,sandbanksgirl,"Ottawa, Ontario"
Tue Nov 29 23:49:23 +0000 2022,0,1.59774E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@JacobWolf No one is gonna attend panda cup 

This shit is dead already.",53162321,Marko Myers,MarkoTech9,"Gatineau, Québec"
Tue Nov 29 23:49:22 +0000 2022,0,1.59774E+18,und,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@elonmusk @patti24454701 #BillC11,1.535E+18,I'm A Virus/Climate Carnivore,afreeCanada4all,"Ottawa, Ontario"
Tue Nov 29 23:49:22 +0000 2022,0,1.59774E+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ideapete @general_ben @MarkHertling what about this?

Cut off power to Russian embassies in DC, Ottawa, London, Pa… https://t.co/lRIZCub0pB",27414766,Steve Aplin,SteveAplin,"Ottawa, Canada"
Tue Nov 29 23:49:21 +0000 2022,0,1.59774E+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@SharonSeevers2 Beautiful woman,603024392,Bruce Ransom,BruceRansom,"Ottawa, Ontario"
